
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	2.75039672852e-05	3.89099121094e-09	1516704031.4555461	
200.0	2.63118743896e-05	-2.13623046875e-09	1516704033.1244497	
300.0	2.56786346436e-05	5.07354736328e-09	1516704034.7764227	
400.0	2.59914398193e-05	2.67028808594e-09	1516704036.4264305	
500.0	2.57434844971e-05	4.73022460937e-09	1516704038.0803597	
600.0	2.76947021484e-05	-3.12805175781e-09	1516704039.7333443	
700.0	2.66017913818e-05	-1.29699707031e-09	1516704041.3853548	
800.0	2.57167816162e-05	2.17437744141e-09	1516704043.0423172	
900.0	2.65674591064e-05	-2.02178955078e-09	1516704044.6982672	
1000.0	2.70595550537e-05	-7.89642333984e-09	1516704046.350232	
1100.0	2.58388519287e-05	8.39233398438e-10	1516704048.0002487	
1200.0	2.77652740479e-05	-3.0517578125e-10	1516704049.6542187	
1300.0	2.49805450439e-05	-2.44140625e-09	1516704051.307208	
1400.0	2.68650054932e-05	-3.31878662109e-09	1516704052.9590442	
1500.0	2.68363952637e-05	7.62939453125e-10	1516704054.6121306	
1600.0	2.38780975342e-05	-3.662109375e-09	1516704056.265071	
1700.0	2.68325805664e-05	3.50952148437e-09	1516704057.9200644	
1800.0	2.76851654053e-05	6.7138671875e-09	1516704059.575058	
1900.0	2.64453887939e-05	9.1552734375e-10	1516704061.2280383	
2000.0	2.66170501709e-05	1.220703125e-09	1516704062.9110274	
2100.0	2.59265899658e-05	2.44140625e-09	1516704064.5649123	
2200.0	2.64739990234e-05	-3.62396240234e-09	1516704066.2469888	
2300.0	2.7416229248e-05	-1.56402587891e-09	1516704067.9008844	
2400.0	2.69222259521e-05	8.50677490234e-09	1516704069.58387	
2500.0	2.4299621582e-05	-4.19616699219e-10	1516704071.2358773	
2600.0	2.7042388916e-05	1.37329101562e-09	1516704072.9208345	
2700.0	2.59132385254e-05	5.68389892578e-09	1516704074.5717733	
2800.0	2.66265869141e-05	3.16619873047e-09	1516704076.258803	
2900.0	2.72159576416e-05	1.41143798828e-09	1516704077.917749	
3000.0	2.32925415039e-05	3.43322753906e-09	1516704079.5947049	
3100.0	2.51617431641e-05	-2.05993652344e-09	1516704081.2466729	
3200.0	2.70938873291e-05	-3.08990478516e-09	1516704082.932653	
3300.0	2.70252227783e-05	-2.21252441406e-09	1516704084.590647	
3400.0	2.71263122559e-05	5.22613525391e-09	1516704086.2685924	
3500.0	2.56538391113e-05	3.81469726563e-10	1516704087.9265742	
3600.0	2.59971618652e-05	-3.43322753906e-10	1516704089.606577	
3700.0	2.70023345947e-05	-3.50952148438e-09	1516704091.256548	
3800.0	2.77671813965e-05	4.95910644531e-09	1516704092.9424913	
3900.0	2.76947021484e-05	2.25067138672e-09	1516704094.5974576	
4000.0	2.70500183105e-05	1.37329101562e-09	1516704096.278467	
4100.0	2.70328521729e-05	1.52587890625e-10	1516704097.930378	
4200.0	2.85301208496e-05	1.79290771484e-09	1516704099.615399	
4300.0	2.51502990723e-05	-6.06536865234e-09	1516704101.2673922	
4400.0	2.66227722168e-05	4.23431396484e-09	1516704102.9523575	
4500.0	2.73399353027e-05	7.62939453126e-11	1516704104.6043053	
