
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000129776000977	-1.68304443359e-06	1511952687.3797007	
0.0	0.000129776000977	-1.68304443359e-06	1511952687.879702	
0.0	0.000129776000977	-1.68304443359e-06	1511952688.379676	
0.0	0.000129776000977	-1.68304443359e-06	1511952688.879697	
0.0	0.000116287231445	-1.69219970703e-06	1511952689.3797905	
0.0	0.000116287231445	-1.69219970703e-06	1511952689.879673	
0.0	0.000116287231445	-1.69219970703e-06	1511952690.3796957	
0.0	0.000116287231445	-1.69219970703e-06	1511952690.8796902	
0.0	0.000116287231445	-1.69219970703e-06	1511952691.3796782	
0.0	0.000116287231445	-1.69219970703e-06	1511952691.8796847	
0.0	0.000116287231445	-1.69219970703e-06	1511952692.3796902	
0.0	0.000116287231445	-1.69219970703e-06	1511952692.879698	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000116287231445	-1.69219970703e-06	1511952695.6024806	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000121841430664	-2.35214233398e-06	1511952698.89004	
0.0	0.000121841430664	-2.35214233398e-06	1511952699.3900723	
0.0	0.000121841430664	-2.35214233398e-06	1511952699.8900232	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000119735717773	-1.84783935547e-06	1511952817.1655924	
0.0	0.000119735717773	-1.84783935547e-06	1511952817.665563	
0.0	0.000119735717773	-1.84783935547e-06	1511952818.1655564	
0.0	0.000119735717773	-1.84783935547e-06	1511952818.665662	
0.0	0.000119735717773	-1.84783935547e-06	1511952819.165563	
0.0	0.000128189086914	-1.89208984375e-06	1511952819.6655755	
0.0	0.000128189086914	-1.89208984375e-06	1511952820.1655784	
0.0	0.000128189086914	-1.89208984375e-06	1511952820.6655467	
0.0	0.000128189086914	-1.89208984375e-06	1511952821.1655552	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
