
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
-5128.0	0.00210006713867	-6.17218017578e-07	1511959127.1554892	
-5128.0	0.00210037231445	-7.97271728516e-07	1511959127.6556325	
-5128.0	0.00210037231445	-7.97271728516e-07	1511959128.1554732	
-5221.0	0.00210037231445	-7.97271728516e-07	1511959128.6556644	
-5221.0	0.00210037231445	-7.97271728516e-07	1511959129.155508	
-5332.0	0.00210037231445	-7.97271728516e-07	1511959129.6554894	
-5332.0	0.00210037231445	-7.97271728516e-07	1511959130.1555142	
-5443.0	0.00210037231445	-7.97271728516e-07	1511959130.6556492	
-5443.0	0.00210037231445	-7.97271728516e-07	1511959131.1555583	
-5554.0	0.00210037231445	-7.97271728516e-07	1511959131.6554983	
-5554.0	0.00210037231445	-7.97271728516e-07	1511959132.155676	
-5664.0	0.00210037231445	-7.97271728516e-07	1511959132.6554945	
-5664.0	0.00210037231445	-7.97271728516e-07	1511959133.1557376	
-5664.0	0.00210037231445	-7.97271728516e-07	1511959133.6556394	
-5775.0	0.0020947265625	-1.03530883789e-06	1511959134.155839	
-5775.0	0.0020947265625	-1.03530883789e-06	1511959134.6555064	
-5886.0	0.0020947265625	-1.03530883789e-06	1511959135.1555057	
-5886.0	0.0020947265625	-1.03530883789e-06	1511959135.6555052	
-5997.0	0.0020947265625	-1.03530883789e-06	1511959136.1555066	
-5997.0	0.0020947265625	-1.03530883789e-06	1511959136.6557055	
-6108.0	0.0020947265625	-1.03530883789e-06	1511959137.1555095	
-6108.0	0.0020947265625	-1.03530883789e-06	1511959137.6557076	
-6219.0	0.0020947265625	-1.03530883789e-06	1511959138.1556325	
-6219.0	0.0020947265625	-1.03530883789e-06	1511959138.655656	
-6219.0	0.0020947265625	-1.03530883789e-06	1511959139.1555061	
-6329.0	0.0020947265625	-1.03530883789e-06	1511959139.6554961	
-6329.0	0.0020947265625	-1.03530883789e-06	1511959140.1556306	
-6440.0	0.00207763671875	-8.82720947266e-07	1511959140.655622	
-6440.0	0.00207763671875	-8.82720947266e-07	1511959141.155498	
-6551.0	0.00207763671875	-8.82720947266e-07	1511959141.65563	
-6551.0	0.00207763671875	-8.82720947266e-07	1511959142.155504	
-6662.0	0.00207763671875	-8.82720947266e-07	1511959142.6557038	
-6662.0	0.00207763671875	-8.82720947266e-07	1511959143.1554623	
-6773.0	0.00207763671875	-8.82720947266e-07	1511959143.6556003	
-6773.0	0.00207763671875	-8.82720947266e-07	1511959144.155776	
-6773.0	0.00207763671875	-8.82720947266e-07	1511959144.6554995	
-6995.0	0.00207763671875	-8.82720947266e-07	1511959145.1558003	
-6995.0	0.00207763671875	-8.82720947266e-07	1511959145.6557448	
-7105.0	0.00207763671875	-8.82720947266e-07	1511959146.156059	
-7105.0	0.00207763671875	-8.82720947266e-07	1511959146.6556556	
-7216.0	0.0020703125	-1.15585327148e-06	1511959147.1554494	
-7216.0	0.0020703125	-1.15585327148e-06	1511959147.655514	
-7327.0	0.0020703125	-1.15585327148e-06	1511959148.1556177	
-7327.0	0.0020703125	-1.15585327148e-06	1511959148.655492	
-7438.0	0.0020703125	-1.15585327148e-06	1511959149.155501	
-7438.0	0.0020703125	-1.15585327148e-06	1511959149.655725	
-7438.0	0.0020703125	-1.15585327148e-06	1511959150.1555116	
-7549.0	0.0020703125	-1.15585327148e-06	1511959150.6556468	
-7549.0	0.0020703125	-1.15585327148e-06	1511959151.155522	
-7660.0	0.0020703125	-1.15585327148e-06	1511959151.6554935	
-7660.0	0.0020703125	-1.15585327148e-06	1511959152.155731	
-7770.0	0.0020703125	-1.15585327148e-06	1511959152.6554925	
-7770.0	0.0020703125	-1.15585327148e-06	1511959153.155714	
-7881.0	0.0020475769043	-8.93402099609e-07	1511959153.6556299	
-7881.0	0.0020475769043	-8.93402099609e-07	1511959154.1554914	
-7992.0	0.0020475769043	-8.93402099609e-07	1511959154.6554964	
-7992.0	0.0020475769043	-8.93402099609e-07	1511959155.1559088	
-7992.0	0.0020475769043	-8.93402099609e-07	1511959155.655689	
-8103.0	0.0020475769043	-8.93402099609e-07	1511959156.155498	
-8103.0	0.0020475769043	-8.93402099609e-07	1511959156.6556642	
-8214.0	0.0020475769043	-8.93402099609e-07	1511959157.1555088	
-8214.0	0.0020475769043	-8.93402099609e-07	1511959157.6556387	
-8325.0	0.0020475769043	-8.93402099609e-07	1511959158.1555421	
-8325.0	0.0020475769043	-8.93402099609e-07	1511959158.6557078	
-8436.0	0.0020475769043	-8.93402099609e-07	1511959159.1555088	
-8436.0	0.0020475769043	-8.93402099609e-07	1511959159.6556296	
-8546.0	0.00214950561523	-1.43737792969e-06	1511959160.1555405	
-8546.0	0.00214950561523	-1.43737792969e-06	1511959160.6556556	
-8546.0	0.00214950561523	-1.43737792969e-06	1511959161.1555357	
-8657.0	0.00214950561523	-1.43737792969e-06	1511959161.6557453	
-8657.0	0.00214950561523	-1.43737792969e-06	1511959162.1556737	
-8768.0	0.00214950561523	-1.43737792969e-06	1511959162.6556766	
-8768.0	0.00214950561523	-1.43737792969e-06	1511959163.155807	
-8879.0	0.00214950561523	-1.43737792969e-06	1511959163.655621	
-8879.0	0.00214950561523	-1.43737792969e-06	1511959164.1557467	
-8990.0	0.00214950561523	-1.43737792969e-06	1511959164.6555593	
-8990.0	0.00214950561523	-1.43737792969e-06	1511959165.1557558	
-9101.0	0.00214950561523	-1.43737792969e-06	1511959165.6555307	
-9101.0	0.00214950561523	-1.43737792969e-06	1511959166.1555707	
-9101.0	0.00201995849609	-1.32675170898e-06	1511959166.6555448	
-9212.0	0.00201995849609	-1.32675170898e-06	1511959167.1555808	
-9212.0	0.00201995849609	-1.32675170898e-06	1511959167.655582	
-9322.0	0.00201995849609	-1.32675170898e-06	1511959168.155497	
-9322.0	0.00201995849609	-1.32675170898e-06	1511959168.6556053	
-9433.0	0.00201995849609	-1.32675170898e-06	1511959169.1555004	
-9433.0	0.00201995849609	-1.32675170898e-06	1511959169.6555867	
-9544.0	0.00201995849609	-1.32675170898e-06	1511959170.1556566	
-9544.0	0.00201995849609	-1.32675170898e-06	1511959170.6555107	
-9655.0	0.00201995849609	-1.32675170898e-06	1511959171.1554987	
-9655.0	0.00201995849609	-1.32675170898e-06	1511959171.655659	
-9655.0	0.00201995849609	-1.32675170898e-06	1511959172.155689	
-9766.0	0.00201995849609	-1.32675170898e-06	1511959172.655706	
-9766.0	0.00204467773438	-1.19934082031e-06	1511959173.155504	
-9877.0	0.00204467773438	-1.19934082031e-06	1511959173.6555047	
-9877.0	0.00204467773438	-1.19934082031e-06	1511959174.155632	
-9987.0	0.00204467773438	-1.19934082031e-06	1511959174.6555407	
-9987.0	0.00204467773438	-1.19934082031e-06	1511959175.1560905	
-10098.0	0.00204467773438	-1.19934082031e-06	1511959175.6558256	
-10098.0	0.00204467773438	-1.19934082031e-06	1511959176.1556013	
-10320.0	0.00204467773438	-1.19934082031e-06	1511959176.6554906	
-10320.0	0.00204467773438	-1.19934082031e-06	1511959177.1559896	
-10320.0	0.00204467773438	-1.19934082031e-06	1511959177.6556249	
-10431.0	0.00204467773438	-1.19934082031e-06	1511959178.1555033	
-10431.0	0.00204467773438	-1.19934082031e-06	1511959178.655497	
-10542.0	0.00204467773438	-1.19934082031e-06	1511959179.1558537	
-10542.0	0.0019677734375	-1.5380859375e-06	1511959179.655516	
-10653.0	0.0019677734375	-1.5380859375e-06	1511959180.1554995	
-10653.0	0.0019677734375	-1.5380859375e-06	1511959180.6556616	
-10764.0	0.0019677734375	-1.5380859375e-06	1511959181.155494	
-10764.0	0.0019677734375	-1.5380859375e-06	1511959181.6556425	
-10874.0	0.0019677734375	-1.5380859375e-06	1511959182.1555018	
-10874.0	0.0019677734375	-1.5380859375e-06	1511959182.655499	
-10874.0	0.0019677734375	-1.5380859375e-06	1511959183.1556304	
-10985.0	0.0019677734375	-1.5380859375e-06	1511959183.6554914	
-10985.0	0.0019677734375	-1.5380859375e-06	1511959184.156058	
-11096.0	0.0019677734375	-1.5380859375e-06	1511959184.6555257	
-11096.0	0.0019677734375	-1.5380859375e-06	1511959185.1558714	
-11207.0	0.0019677734375	-1.5380859375e-06	1511959185.6556427	
-11207.0	0.00204360961914	-1.5869140625e-06	1511959186.1555436	
-11318.0	0.00204360961914	-1.5869140625e-06	1511959186.6558423	
-11318.0	0.00204360961914	-1.5869140625e-06	1511959187.1555147	
-11429.0	0.00204360961914	-1.5869140625e-06	1511959187.6554985	
