
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.00200653076172	-4.8828125e-08	1511964644.7593467	
18.0	0.00200653076172	-4.8828125e-08	1511964645.2594273	
18.0	0.00200653076172	-4.8828125e-08	1511964645.7593336	
129.0	0.00200653076172	-4.8828125e-08	1511964646.260349	
129.0	0.00200653076172	-4.8828125e-08	1511964646.7594426	
129.0	0.00200653076172	-4.8828125e-08	1511964647.2594047	
240.0	0.00200653076172	-4.8828125e-08	1511964647.7593935	
240.0	0.00200653076172	-4.8828125e-08	1511964648.2593148	
351.0	0.00200653076172	-4.8828125e-08	1511964648.7593262	
351.0	0.00190887451172	-4.11987304688e-08	1511964649.2594566	
462.0	0.00190887451172	-4.11987304688e-08	1511964649.759316	
462.0	0.00190887451172	-4.11987304688e-08	1511964650.2595835	
573.0	0.00190887451172	-4.11987304688e-08	1511964650.832027	
573.0	0.00190887451172	-4.11987304688e-08	1511964651.2794204	
573.0	0.00190887451172	-4.11987304688e-08	1511964651.7593348	
573.0	0.00190887451172	-4.11987304688e-08	1511964652.3070962	
573.0	0.00190887451172	-4.11987304688e-08	1511964652.7593021	
918.0	0.00190887451172	-4.11987304688e-08	1511964653.25931	
918.0	0.00190887451172	-4.11987304688e-08	1511964653.759325	
1192.0	0.00190887451172	-4.11987304688e-08	1511964654.2594147	
1192.0	0.00190887451172	-4.11987304688e-08	1511964654.7595835	
1468.0	0.00190887451172	-4.11987304688e-08	1511964655.259459	
1468.0	0.0019514465332	-2.67028808594e-08	1511964655.7595782	
1745.0	0.0019514465332	-2.67028808594e-08	1511964656.2595131	
1745.0	0.0019514465332	-2.67028808594e-08	1511964656.7592928	
2022.0	0.0019514465332	-2.67028808594e-08	1511964657.2592952	
2022.0	0.0019514465332	-2.67028808594e-08	1511964657.7593198	
2022.0	0.0019514465332	-2.67028808594e-08	1511964658.2593336	
2298.0	0.0019514465332	-2.67028808594e-08	1511964658.7594478	
2298.0	0.0019514465332	-2.67028808594e-08	1511964659.2593246	
2298.0	0.0019514465332	-2.67028808594e-08	1511964659.7593102	
2298.0	0.0019514465332	-2.67028808594e-08	1511964660.2593293	
3115.0	0.0019514465332	-2.67028808594e-08	1511964660.7593381	
3115.0	0.0019514465332	-2.67028808594e-08	1511964661.2593293	
3392.0	0.0019514465332	-2.67028808594e-08	1511964661.759332	
3392.0	0.00207382202148	-4.2724609375e-08	1511964662.259323	
3668.0	0.00207382202148	-4.2724609375e-08	1511964662.7593005	
3668.0	0.00207382202148	-4.2724609375e-08	1511964663.2593355	
3668.0	0.00207382202148	-4.2724609375e-08	1511964663.7593303	
3945.0	0.00207382202148	-4.2724609375e-08	1511964664.2593262	
3945.0	0.00207382202148	-4.2724609375e-08	1511964664.759333	
4222.0	0.00207382202148	-4.2724609375e-08	1511964665.2593443	
4222.0	0.00207382202148	-4.2724609375e-08	1511964665.7593606	
4499.0	0.00207382202148	-4.2724609375e-08	1511964666.2593198	
4499.0	0.00207382202148	-4.2724609375e-08	1511964666.7596774	
4775.0	0.00207382202148	-4.2724609375e-08	1511964667.2593732	
4775.0	0.00207382202148	-4.2724609375e-08	1511964667.7593415	
5052.0	0.00207382202148	-4.2724609375e-08	1511964668.2595248	
5052.0	0.0020719909668	-3.35693359375e-08	1511964668.7593343	
5052.0	0.0020719909668	-3.35693359375e-08	1511964669.2593272	
5329.0	0.0020719909668	-3.35693359375e-08	1511964669.7593246	
5329.0	0.0020719909668	-3.35693359375e-08	1511964670.2593267	
5606.0	0.0020719909668	-3.35693359375e-08	1511964670.7600367	
5606.0	0.0020719909668	-3.35693359375e-08	1511964671.2593267	
5883.0	0.0020719909668	-3.35693359375e-08	1511964671.7593262	
5883.0	0.0020719909668	-3.35693359375e-08	1511964672.259332	
6159.0	0.0020719909668	-3.35693359375e-08	1511964672.759335	
6159.0	0.0020719909668	-3.35693359375e-08	1511964673.2593477	
6436.0	0.0020719909668	-3.35693359375e-08	1511964673.7592998	
6436.0	0.0020719909668	-3.35693359375e-08	1511964674.259349	
6436.0	0.0020719909668	-3.35693359375e-08	1511964674.7595737	
6712.0	0.00194381713867	-3.25775146484e-07	1511964675.2592764	
6712.0	0.00194381713867	-3.25775146484e-07	1511964675.7593255	
6989.0	0.00194381713867	-3.25775146484e-07	1511964676.259349	
6989.0	0.00194381713867	-3.25775146484e-07	1511964676.7593195	
7266.0	0.00194381713867	-3.25775146484e-07	1511964677.2593265	
7266.0	0.00194381713867	-3.25775146484e-07	1511964677.7593362	
7543.0	0.00194381713867	-3.25775146484e-07	1511964678.259319	
7543.0	0.00194381713867	-3.25775146484e-07	1511964678.75931	
7819.0	0.00194381713867	-3.25775146484e-07	1511964679.2592762	
7819.0	0.00194381713867	-3.25775146484e-07	1511964679.7593277	
7819.0	0.00194381713867	-3.25775146484e-07	1511964680.2594857	
8096.0	0.00194381713867	-3.25775146484e-07	1511964680.7593112	
8096.0	0.00194381713867	-3.25775146484e-07	1511964681.2593303	
8372.0	0.00193572998047	-3.70025634766e-07	1511964681.7594118	
8372.0	0.00193572998047	-3.70025634766e-07	1511964682.2596078	
8649.0	0.00193572998047	-3.70025634766e-07	1511964682.7596343	
8649.0	0.00193572998047	-3.70025634766e-07	1511964683.2596936	
8926.0	0.00193572998047	-3.70025634766e-07	1511964683.7593253	
8926.0	0.00193572998047	-3.70025634766e-07	1511964684.2593164	
9203.0	0.00193572998047	-3.70025634766e-07	1511964684.7593253	
9203.0	0.00193572998047	-3.70025634766e-07	1511964685.2594943	
9203.0	0.00193572998047	-3.70025634766e-07	1511964685.7593586	
9480.0	0.00193572998047	-3.70025634766e-07	1511964686.259744	
9480.0	0.00193572998047	-3.70025634766e-07	1511964686.7593343	
9756.0	0.00193572998047	-3.70025634766e-07	1511964687.2593677	
9756.0	0.00193572998047	-3.70025634766e-07	1511964687.759284	
10033.0	0.00195327758789	-4.60815429687e-07	1511964688.2593236	
10033.0	0.00195327758789	-4.60815429687e-07	1511964688.7594604	
10586.0	0.00195327758789	-4.60815429687e-07	1511964689.2593648	
10586.0	0.00195327758789	-4.60815429687e-07	1511964689.7597167	
10848.0	0.00195327758789	-4.60815429687e-07	1511964690.27454	
10848.0	0.00195327758789	-4.60815429687e-07	1511964690.7592893	
10848.0	0.00195327758789	-4.60815429687e-07	1511964691.259329	
10969.0	0.00195327758789	-4.60815429687e-07	1511964691.7593694	
10969.0	0.00195327758789	-4.60815429687e-07	1511964692.259344	
11094.0	0.00195327758789	-4.60815429687e-07	1511964692.7595747	
11094.0	0.00195327758789	-4.60815429687e-07	1511964693.2593246	
11223.0	0.00195327758789	-4.60815429687e-07	1511964693.799226	
11223.0	0.00195327758789	-4.60815429687e-07	1511964694.2593367	
11350.0	0.00195251464844	-5.46264648437e-07	1511964694.7593365	
11350.0	0.00195251464844	-5.46264648437e-07	1511964695.2593277	
11477.0	0.00195251464844	-5.46264648437e-07	1511964695.7593017	
11477.0	0.00195251464844	-5.46264648437e-07	1511964696.2598224	
11477.0	0.00195251464844	-5.46264648437e-07	1511964696.7593346	
11603.0	0.00195251464844	-5.46264648437e-07	1511964697.259284	
11603.0	0.00195251464844	-5.46264648437e-07	1511964697.7599027	
11730.0	0.00195251464844	-5.46264648437e-07	1511964698.2593393	
11730.0	0.00195251464844	-5.46264648437e-07	1511964698.7596228	
11857.0	0.00195251464844	-5.46264648437e-07	1511964699.2594137	
