
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	0.00176605680096	-3.62257316931e-05	1512043448.70547	
200.0	0.00176605680096	-3.62257316931e-05	1512043449.9073825	
300.0	0.00174347379314	-3.00201871502e-05	1512043451.109297	
400.0	0.00171972246312	-2.32247879256e-05	1512043452.323121	
500.0	0.00167674050402	-3.27676801539e-05	1512043453.524873	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	0.00174134211754	-4.0544424484e-05	1512043480.3709965	
200.0	0.00174134211754	-4.0544424484e-05	1512043481.589773	
300.0	0.0017152974143	-3.41095426189e-05	1512043482.8096194	
400.0	0.00173330734025	-3.40799360133e-05	1512043484.0294547	
500.0	0.00174825184381	-4.71558072674e-05	1512043485.2483919	
600.0	0.00176483609783	-4.54115227087e-05	1512043486.4672682	
700.0	0.00176483609783	-4.54115227087e-05	1512043487.6871505	
800.0	0.00173594460559	-4.907408757e-05	1512043488.9070024	
900.0	0.00172719926976	-4.39762855644e-05	1512043490.1268294	
1000.0	0.0017237421292	-4.02588346111e-05	1512043491.34465	
1100.0	0.00172414295709	-4.53757670388e-05	1512043492.5625176	
1200.0	0.00172414295709	-4.53757670388e-05	1512043493.782444	
1300.0	0.00177480669164	-4.66117289529e-05	1512043495.002369	
1400.0	0.00179077603924	-4.4933262156e-05	1512043496.2221773	
1500.0	0.00174805142986	-3.33056094042e-05	1512043497.4401083	
1600.0	0.00173960671496	-3.97452738748e-05	1512043498.6589925	
1700.0	0.00180440874242	-3.37032488923e-05	1512043499.878814	
1800.0	0.00180440874242	-3.37032488923e-05	1512043501.098671	
1900.0	0.0018024729259	-3.32760027985e-05	1512043502.3185017	
2000.0	0.00180786588299	-2.64801480877e-05	1512043503.5363846	
2100.0	0.00181417436742	-2.39681414704e-05	1512043504.754273	
2200.0	0.00184500623105	-2.93278480644e-05	1512043505.9741254	
2300.0	0.00184500623105	-2.93278480644e-05	1512043507.1939878	
2400.0	0.00178192594158	-2.26554301248e-05	1512043508.4138632	
2500.0	0.00180268244957	-2.74261930096e-05	1512043509.631774	
2600.0	0.00176463112902	-2.34192805504e-05	1512043510.850619	
2700.0	0.00179285988879	-1.96446660739e-05	1512043512.0704942	
2800.0	0.00179285988879	-1.96446660739e-05	1512043513.2903242	
2900.0	0.00177246549236	-2.61348895173e-05	1512043514.5102026	
3000.0	0.00176870317601	-2.48426750525e-05	1512043515.7281063	
3100.0	0.00175370173668	-2.4786877988e-05	1512043516.9469962	
3200.0	0.00179128162896	-2.85257367945e-05	1512043518.1668358	
3300.0	0.00179128162896	-2.85257367945e-05	1512043519.3866663	
3400.0	0.00175110318767	-2.56217842671e-05	1512043520.6065662	
3500.0	0.00176870317601	-2.30936078883e-05	1512043521.8254464	
3600.0	0.00174938144969	-1.64403203708e-05	1512043523.0443172	
3700.0	0.00174174294543	-1.76906301014e-05	1512043524.2631743	
3800.0	0.00174174294543	-1.76906301014e-05	1512043525.4830494	
3900.0	0.0017641255393	-1.59115008454e-05	1512043526.7029612	
4000.0	0.00173452348851	-1.21268656716e-05	1512043527.920784	
4100.0	0.00176270442222	-1.29403640975e-05	1512043529.138593	
4200.0	0.00176249489855	-1.38053324685e-05	1512043530.3574755	
4300.0	0.0017829416759	-1.66644196012e-05	1512043531.577352	
4400.0	0.0017829416759	-1.66644196012e-05	1512043532.7972493	
4500.0	0.00175273382842	-1.90233828417e-05	1512043534.0161328	
4600.0	0.00175608620715	-1.81641080486e-05	1512043535.2350423	
4700.0	0.00175018766033	-1.64599062792e-05	1512043536.4548464	
4800.0	0.00178274581681	-1.50570086579e-05	1512043537.674664	
4900.0	0.00178274581681	-1.50570086579e-05	1512043538.8945832	
