
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	0.00167226762914	-1.82761576638e-05	1512043582.6049325	
200.0	0.00163655750787	-3.56008045709e-06	1512043584.3063445	
300.0	0.00168518521892	-1.4903965281e-05	1512043586.0086098	
400.0	0.00163136951959	-7.17163085938e-06	1512043587.7101874	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	0.00162038319146	-1.20963480935e-05	1512043615.9816089	
200.0	0.00161529996502	-1.58395340194e-05	1512043617.7012117	
300.0	0.00169810280871	-1.88464264372e-05	1512043619.4625702	
400.0	0.00164754839086	-2.12882881734e-05	1512043621.1810014	
500.0	0.00165070035564	-2.30521586404e-05	1512043622.9700727	
600.0	0.00167969205486	-1.88446044922e-05	1512043624.6834743	
700.0	0.00160003662109	-1.07421875e-05	1512043626.4037685	
800.0	0.00168650612902	-2.48565673828e-05	1512043628.1221416	
900.0	0.0016135691173	-2.36511230469e-05	1512043629.8531163	
1000.0	0.00167897694146	-2.4546608996e-05	1512043631.5734985	
1100.0	0.00166565396892	-1.93695523846e-05	1512043633.2998257	
1200.0	0.00164622748076	-2.44664434177e-05	1512043635.019388	
1300.0	0.00159760887943	-2.09350585938e-05	1512043636.7555187	
1400.0	0.00169068293785	-1.31530761719e-05	1512043638.4759989	
1500.0	0.00168060302734	-1.82037353516e-05	1512043640.1962297	
1600.0	0.00163177490234	-2.00500488281e-05	1512043641.9156034	
1700.0	0.00171163075006	-1.57165527344e-05	1512043643.6420634	
1800.0	0.00169098355877	-1.34944631093e-05	1512043645.3602426	
1900.0	0.00168172807836	-9.6435546875e-06	1512043647.0842354	
2000.0	0.00171428167998	-9.46044921875e-06	1512043648.8040202	
2100.0	0.00167226307428	-8.13862814832e-06	1512043650.582932	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
2200.0	0.00171702826201	-5.51309158553e-06	1512043662.9486477	
2300.0	0.00170970404326	-5.52453567733e-06	1512043664.6681433	
2400.0	0.00170878851592	-6.36160551612e-06	1512043666.4180064	
2500.0	0.00173594916045	-5.66209252201e-06	1512043668.1378114	
