
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
10.0	0.00175479433952	-2.75486937357e-06	1512038194.4071333	
20.0	0.00173693735665	-3.43851911912e-06	1512038195.6105309	
30.0	0.00177807869168	-3.14938606472e-06	1512038196.8123696	
40.0	0.00179746155345	-2.6959060529e-06	1512038198.0328326	
50.0	0.00177150481338	-3.02570587998e-06	1512038199.2343874	
60.0	0.00178600066299	-3.10797735092e-06	1512038200.4358277	
70.0	0.00178823628557	-2.35637699792e-06	1512038201.637552	
80.0	0.00180172561506	-2.06097244123e-06	1512038202.8395336	
90.0	0.00172312185305	-2.4535432868e-06	1512038204.0422046	
100.0	0.00169436953483	-2.53052317768e-06	1512038205.242947	
110.0	0.00169262527326	-1.93214066532e-06	1512038206.4444804	
120.0	0.00168833181399	-2.37695536482e-06	1512038207.6470804	
130.0	0.00165309241059	-2.19467583053e-06	1512038208.84889	
140.0	0.00168230669214	-2.80700123638e-06	1512038210.0510557	
150.0	0.00167179072669	-2.44829370341e-06	1512038211.2693954	
160.0	0.00172190534959	-2.15756477566e-06	1512038212.4707808	
170.0	0.00170168955392	-2.56228665693e-06	1512038213.672392	
180.0	0.00165623096151	-2.32895317428e-06	1512038214.8743098	
190.0	0.00168330481293	-2.17174565027e-06	1512038216.0763483	
200.0	0.00172327864061	-2.34503789779e-06	1512038217.2903738	
210.0	0.00169559443763	-2.29521585167e-06	1512038218.4886453	
220.0	0.00170258828259	-2.35485111902e-06	1512038219.6904936	
230.0	0.00168665754686	-2.78279715722e-06	1512038220.892795	
240.0	0.00164995805933	-2.5960659762e-06	1512038222.0944643	
250.0	0.00168764726831	-2.12889505089e-06	1512038223.296268	
260.0	0.00167819941809	-2.13198880537e-06	1512038224.4978347	
270.0	0.00173143999292	-2.3069329218e-06	1512038225.7110202	
280.0	0.00169954492411	-1.8724634013e-06	1512038226.908383	
290.0	0.00170702593042	-2.09689359052e-06	1512038228.1100068	
300.0	0.00172456513851	-2.87839557053e-06	1512038229.3237045	
310.0	0.00171984331323	-2.41035671409e-06	1512038230.5252082	
320.0	0.00168894636522	-2.11100447069e-06	1512038231.7303424	
330.0	0.00170314543838	-2.47230179813e-06	1512038232.9410024	
340.0	0.00166552622384	-2.35431916123e-06	1512038234.142811	
350.0	0.00167255366614	-2.36194855576e-06	1512038235.3589625	
360.0	0.00163775522775	-2.51065875412e-06	1512038236.5605135	
370.0	0.00162913191209	-2.01214431623e-06	1512038237.7811542	
380.0	0.0016130317898	-1.95189309776e-06	1512038238.9820337	
390.0	0.00159464704881	-1.6192514962e-06	1512038240.1836247	
400.0	0.00160434267936	-1.83617828089e-06	1512038241.3854578	
410.0	0.00162302839647	-2.05083724556e-06	1512038242.5872028	
