
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
32390.0	0.00193487637285	-2.57907696624e-06	1512039919.413408	
32090.0	0.00193487637285	-2.57907696624e-06	1512039922.4905717	
31790.0	0.00193487637285	-2.57907696624e-06	1512039926.3666131	
31490.0	0.00193487637285	-2.57907696624e-06	1512039929.5313194	
31190.0	0.00193487637285	-2.57907696624e-06	1512039932.4174263	
30890.0	0.00193487637285	-2.57907696624e-06	1512039935.3588512	
30590.0	0.00193487637285	-2.57907696624e-06	1512039939.084733	
30290.0	0.00193487637285	-2.57907696624e-06	1512039941.9609883	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
29990.0	0.00191601198111	-8.1543993594e-06	1512039957.4091458	
29690.0	0.00195620864185	-8.52419725105e-06	1512039960.1286	
29390.0	0.00191204469595	-6.99569929892e-06	1512039962.8493164	
29090.0	0.00189556520377	-8.0272048267e-06	1512039965.5680144	
28790.0	0.00187760310387	-8.0129139459e-06	1512039968.287697	
28490.0	0.00188874657474	-7.07165162955e-06	1512039971.0063887	
28190.0	0.00191499624679	-8.97433152839e-06	1512039973.726101	
27890.0	0.00193254385422	-1.02280574058e-05	1512039976.4458961	
27590.0	0.00193203370963	-1.12275080894e-05	1512039979.1654825	
27290.0	0.00189998569773	-1.02969496997e-05	1512039981.884253	
26990.0	0.00193106580136	-9.38478156702e-06	1512039984.603938	
26690.0	0.00189637141441	-1.4338023627e-05	1512039987.3246229	
26390.0	0.00189240868412	-1.36610572018e-05	1512039990.044475	
26090.0	0.00194408359812	-1.40753219377e-05	1512039992.7640429	
25790.0	0.00192364137564	-1.79211061392e-05	1512039995.4832473	
25490.0	0.00192775669383	-1.54437164762e-05	1512039998.203526	
25190.0	0.00195954735599	-2.07288371983e-05	1512040000.931157	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-300.0	0.00195476930533	-2.13376514947e-05	1512040042.5083165	
-600.0	0.00189952793406	-2.24147056466e-05	1512040045.2283769	
-900.0	0.00188111718021	-2.05110578395e-05	1512040047.9471207	
-1200.0	0.0018878310474	-2.31484370445e-05	1512040050.6667917	
-1500.0	0.00193666372726	-2.86770151622e-05	1512040053.3864863	
-1800.0	0.00186453292619	-2.59853761588e-05	1512040056.10622	
-2100.0	0.00184887330924	-2.8008589104e-05	1512040058.8258984	
-2400.0	0.00185416150449	-2.78825902227e-05	1512040061.5449834	
-2700.0	0.00186290684031	-3.09071896681e-05	1512040064.2643409	
-3000.0	0.00188060703562	-3.24917124279e-05	1512040066.9833188	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-3300.0	0.00183422487174	-4.57258082148e-05	1512040081.1064231	
-3600.0	0.00183046255539	-4.32133461112e-05	1512040083.8252678	
-3900.0	0.00181793668377	-4.85739636777e-05	1512040086.5449052	
-4200.0	0.00176046798478	-4.66627434118e-05	1512040089.2648234	
-4500.0	0.0017956634066	-5.07202148437e-05	1512040091.9834013	
-4800.0	0.00185496771514	-6.74743652344e-05	1512040094.7030776	
-5100.0	0.00186225321755	-6.34870386835e-05	1512040097.4217634	
-5400.0	0.00184672796904	-6.77490234375e-05	1512040100.1414313	
-5700.0	0.00186412754344	-8.99353027344e-05	1512040102.8601713	
-6000.0	0.00181916194176	-8.99047851562e-05	1512040105.580089	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-6100.0	0.00192720327804	-0.000154075053201	1512040125.363608	
-6200.0	0.00190899293814	-0.000151583543464	1512040126.6059566	
-6300.0	0.00190899293814	-0.000151583543464	1512040127.8299794	
-6400.0	0.00187165673099	-0.000138179722117	1512040129.0580516	
-6500.0	0.0019048297939	-0.00011030851905	1512040130.2838597	
-6600.0	0.00187155196916	-0.000115239157606	1512040131.541435	
-6700.0	0.00192384178959	-0.00013484442412	1512040132.7539828	
-6800.0	0.00191946912168	-0.000109767629139	1512040134.0069368	
-6900.0	0.00191946912168	-0.000109767629139	1512040135.2332406	
-7000.0	0.00192048030113	-0.000111450650799	1512040136.4767318	
-7100.0	0.00190827326988	-0.000116082945866	1512040137.7050893	
-7200.0	0.0019402210748	-0.000116486051189	1512040138.9341798	
-7300.0	0.00189728694176	-0.000122692051219	1512040140.1591973	
-7400.0	0.00189728694176	-0.000122692051219	1512040141.4149525	
-7500.0	0.00192079458664	-0.000130247429236	1512040142.627092	
-7600.0	0.00190084884416	-0.000126783456375	1512040143.852649	
-7700.0	0.00189155009255	-0.000148989549324	1512040145.0779846	
-7800.0	0.00191733744607	-0.000156204451376	1512040146.3538125	
-7900.0	0.00188050682865	-0.000133928896776	1512040147.590933	
-8000.0	0.00188050682865	-0.000133928896776	1512040148.8211908	
-8100.0	0.00190258424674	-0.000134107675125	1512040150.0463276	
-8200.0	0.00189749646543	-0.000159234573592	1512040151.2760758	
-8300.0	0.00186208696508	-0.000140795351854	1512040152.5048268	
-8400.0	0.00192190597306	-0.000146088101971	1512040153.7290351	
-8500.0	0.00192190597306	-0.000146088101971	1512040155.002988	
-8600.0	0.00188783560226	-0.000151583543464	1512040156.1981144	
-8700.0	0.00192674095951	-0.000158907762214	1512040157.421836	
-8800.0	0.00186016025828	-0.000171140983923	1512040158.6477053	
-8900.0	0.00188834574685	-0.000144963050956	1512040159.8861463	
-9000.0	0.00190035236416	-0.000173780526688	1512040161.1711254	
-9100.0	0.00190035236416	-0.000173780526688	1512040162.3731036	
-9200.0	0.00185242610191	-0.000198475851941	1512040163.6105258	
-9300.0	0.00182093606066	-0.000205652037663	1512040164.8367727	
-9400.0	0.0018633076682	-0.000205599656746	1512040166.0822184	
-9500.0	0.00190349521922	-0.000246440830515	1512040167.373534	
-9600.0	0.00190349521922	-0.000246440830515	1512040168.5853276	
-9700.0	0.00195222313724	-0.000270139779618	1512040169.825557	
-9800.0	0.00195385377799	-0.000311901035594	1512040171.0749438	
-9900.0	0.00193972003994	-0.000301119676277	1512040172.3070853	
-10000.0	0.00195863638351	-0.000309154453562	1512040173.54229	
-10100.0	0.00198610220382	-0.000319885709392	1512040174.8062935	
-10200.0	0.00198610220382	-0.000319885709392	1512040176.0626023	
-10300.0	0.00195976143453	-0.000354217984783	1512040177.287682	
-10400.0	0.0019458190007	-0.000340692320866	1512040178.5146282	
-10500.0	0.00195166061174	-0.000375172629285	1512040179.739729	
-10600.0	0.00193757925461	-0.000395671787547	1512040180.9855235	
-10700.0	0.00193757925461	-0.000395671787547	1512040182.1929407	
-10800.0	0.00195568483267	-0.000407368674207	1512040183.4310515	
-10900.0	0.00197409558652	-0.00043793863325	1512040184.695557	
-11000.0	0.00193828981314	-0.000424434604929	1512040185.9239516	
-11100.0	0.00194734032474	-0.000485216966316	1512040187.1905677	
-11200.0	0.00193818505131	-0.000463876297225	1512040188.4212692	
-11300.0	0.00193818505131	-0.000463876297225	1512040189.6482763	
-11400.0	0.0019340173522	-0.000517561044266	1512040190.8751922	
-11500.0	0.00195670056699	-0.00054795450239	1512040192.1138709	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-11600.0	0.00195996184847	-0.000702109265683	1512040200.4620035	
-11700.0	0.0019513076099	-0.000628867078183	1512040201.7178538	
-11800.0	0.0019297403364	-0.00063120827746	1512040202.9404721	
-11900.0	0.00194775026236	-0.000541791773554	1512040204.1650243	
-12000.0	0.00193915295957	-0.000547795082206	1512040205.4294221	
-12100.0	0.00192191052793	-0.000494289113514	1512040206.6443443	
-12200.0	0.00192191052793	-0.000494289113514	1512040207.8869865	
-12300.0	0.00192863350484	-0.000418915250408	1512040209.1190386	
-12400.0	0.00193462770377	-0.000366830398787	1512040210.346939	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-12500.0	0.00195400181101	-0.000188730723822	1512040222.0861118	
-12600.0	0.00194459374271	-0.000196258544922	1512040223.315748	
-12700.0	0.00193712149093	-0.000197509765625	1512040224.5409205	
-12800.0	0.00193712149093	-0.000197509765625	1512040225.769463	
-12900.0	0.00193981569205	-0.000213775634766	1512040226.9972405	
-13000.0	0.00193025503586	-0.000204833984375	1512040228.2469542	
-13100.0	0.00191544490074	-0.000191925048828	1512040229.45884	
-13200.0	0.00193614902781	-0.000177764892578	1512040230.69994	
-13300.0	0.00193614902781	-0.000177764892578	1512040231.9514534	
-13400.0	0.00196870718429	-0.000157073974609	1512040233.1851866	
-13500.0	0.00194531341097	-0.000153218739068	1512040234.4103634	
-13600.0	0.00195742023525	-0.000130025379693	1512040235.6369612	
-13700.0	0.0019361626924	-0.000137084960937	1512040236.8605285	
-13800.0	0.00191824386369	-0.000134531960559	1512040238.114971	
