
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
100.0	0.00196589911162	-0.000107635498047	1512041351.5480716	
200.0	0.00196589911162	-0.000107635498047	1512041352.7780392	
300.0	0.00198345582877	-9.1919856285e-05	1512041354.0010157	
400.0	0.00195842230498	-8.42904617537e-05	1512041355.2284472	
500.0	0.00197694237552	-9.7489769779e-05	1512041356.4581676	
600.0	0.00196930842613	-0.000114288330078	1512041357.6848917	
700.0	0.00196930842613	-0.000114288330078	1512041358.9164054	
800.0	0.00199042249082	-0.000115428412139	1512041360.1448443	
900.0	0.00196728151236	-0.000112208807646	1512041361.3689055	
1000.0	0.00195984797691	-0.000103863161002	1512041362.5946255	
1100.0	0.00197307074248	-0.000121094205486	1512041363.820039	
1200.0	0.00197307074248	-0.000121094205486	1512041365.0443103	
1300.0	0.00197287032853	-0.000121287787139	1512041366.2857842	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
1400.0	0.00193839002011	-0.000149320915564	1512041377.4641435	
1500.0	0.00194124136398	-0.000143372265261	1512041378.6969864	
1600.0	0.00191326084422	-0.000153791513016	1512041379.9252598	
1700.0	0.00191326084422	-0.000153791513016	1512041381.1539848	
1800.0	0.00193431797312	-0.000144745556276	1512041382.3900123	
1900.0	0.00196117799674	-0.000164474942791	1512041383.6168573	
2000.0	0.00197826784049	-0.000213791576784	1512041384.8413706	
2100.0	0.0019402210748	-0.000213126566873	1512041386.0687666	
2200.0	0.00196890304338	-0.000249061015115	1512041387.2976146	
2300.0	0.00196890304338	-0.000249061015115	1512041388.523487	
2400.0	0.00195517013322	-0.000285198154734	1512041389.782078	
2500.0	0.00192088568389	-0.000253509976971	1512041391.0389338	
2600.0	0.00190460660564	-0.000249874058054	1512041392.2512367	
2700.0	0.00192160535215	-0.000300845245817	1512041393.4876723	
2800.0	0.00192160535215	-0.000300845245817	1512041394.7215815	
2900.0	0.0019590372114	-0.000272683670272	1512041395.9487846	
3000.0	0.00197032871531	-0.000336236526717	1512041397.1778061	
3100.0	0.00196809227787	-0.000436770311042	1512041398.4196064	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
3200.0	0.00196767778539	-0.000527958656425	1512041407.0560791	
3300.0	0.00196767778539	-0.000527958656425	1512041408.2819571	
3400.0	0.00197562602029	-0.000536508133162	1512041409.5313098	
3500.0	0.00195670056699	-0.000580043508046	1512041410.760961	
3600.0	0.0019395059614	-0.000556544972889	1512041412.0060446	
3700.0	0.00198050427793	-0.000660004117596	1512041413.2490084	
3800.0	0.00197744796525	-0.000673026469216	1512041414.4814975	
3900.0	0.00197744796525	-0.000673026469216	1512041415.7259967	
4000.0	0.00195823100076	-0.000663051320546	1512041416.9527059	
4100.0	0.00198538253556	-0.000392774895056	1512041418.1820877	
4200.0	0.00195944714902	-0.000337533523787	1512041419.4159107	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
4300.0	0.00196652312777	-0.000210571289063	1512041429.691587	
4400.0	0.00195791671525	-0.000206196343721	1512041430.9269705	
4500.0	0.00195791671525	-0.000206196343721	1512041432.1869388	
4600.0	0.00196259911381	-0.000193353909165	1512041433.389655	
4700.0	0.0019651316173	-0.000212936401367	1512041434.6314566	
4800.0	0.00197471049295	-0.000225143432617	1512041435.8700223	
4900.0	0.00195691009066	-0.000215072631836	1512041437.1394165	
5000.0	0.00196647530171	-0.000207620876939	1512041438.3492956	
5100.0	0.00196647530171	-0.000207620876939	1512041439.5766466	
5200.0	0.0019499866998	-0.000179214477539	1512041440.802595	
5300.0	0.00197002353953	-0.000238189697266	1512041442.0286725	
5400.0	0.00192220659398	-0.00017463684082	1512041443.2756248	
5500.0	0.0019337030667	-0.000191192626953	1512041444.5010254	
5600.0	0.0019337030667	-0.000191192626953	1512041445.7248912	
5700.0	0.00196188400041	-0.000238876342773	1512041446.9526644	
5800.0	0.00196982312558	-0.000181427001953	1512041448.1784594	
5900.0	0.00197226453183	-0.000167388916016	1512041449.4150019	
6000.0	0.00197388606285	-0.000137481689453	1512041450.6400867	
6100.0	0.00198798108457	-0.000121002197266	1512041451.864763	
6200.0	0.00198798108457	-0.000121002197266	1512041453.101463	
6300.0	0.00196808772301	-9.92584228516e-05	1512041454.346674	
6400.0	0.00197215521514	-0.000100427883774	1512041455.579115	
6500.0	0.00196087282095	-8.33892822266e-05	1512041456.8236394	
6600.0	0.00196188855527	-7.6192599624e-05	1512041458.0528948	
6700.0	0.00196188855527	-7.6192599624e-05	1512041459.286961	
6800.0	0.00193035068797	-5.82122802734e-05	1512041460.528009	
6900.0	0.00188426459014	-5.16510009766e-05	1512041461.807929	
7000.0	0.00192750389896	-6.86645507812e-05	1512041463.0388336	
7100.0	0.00189525547312	-8.23211669922e-05	1512041464.2950258	
7200.0	0.00190837803172	-4.35638427734e-05	1512041465.519794	
7300.0	0.00190837803172	-4.35638427734e-05	1512041466.7782109	
7400.0	0.00192181032095	-4.85229492188e-05	1512041467.9902716	
7500.0	0.00193543846927	-8.14819335937e-05	1512041469.2669506	
7600.0	0.00188680620336	-9.3485134751e-05	1512041470.4728358	
7700.0	0.00189861696158	-0.000100708007813	1512041471.7007234	
7800.0	0.00189861696158	-0.000103124362319	1512041472.9503868	
7900.0	0.00194479415666	-0.000103124362319	1512041474.1836019	
8000.0	0.00193716476213	-0.000105361938477	1512041475.4192793	
8100.0	0.00193410844945	-9.35363769531e-05	1512041476.6488693	
8200.0	0.00192445214115	-6.71887753615e-05	1512041477.9107568	
8300.0	0.00196789641878	-8.90350341797e-05	1512041479.144499	
8400.0	0.00196789641878	-8.90350341797e-05	1512041480.3892167	
8500.0	0.00195532272111	-7.98034667969e-05	1512041481.6183243	
8600.0	0.00189443559789	-4.76837158203e-05	1512041482.8582966	
8700.0	0.00189922275828	-3.76892089844e-05	1512041484.1175315	
8800.0	0.00188599543785	-4.09698486328e-05	1512041485.3414512	
8900.0	0.00189485009037	-3.85284423828e-05	1512041486.565132	
9000.0	0.00189485009037	-3.85284423828e-05	1512041487.800824	
9100.0	0.00191600742625	-6.74950898583e-05	1512041489.0318096	
9200.0	0.0019353382623	-6.82067871094e-05	1512041490.25308	
9300.0	0.00193746993791	-5.89752197266e-05	1512041491.5070014	
9400.0	0.00189982855498	-5.63561738427e-05	1512041492.7318885	
9500.0	0.00189982855498	-5.63561738427e-05	1512041493.9565752	
9600.0	0.00188630061363	-8.00072968896e-05	1512041495.186047	
9700.0	0.00193564343808	-0.000186309814453	1512041496.4125297	
9800.0	0.00192902977787	-0.000168609619141	1512041497.656586	
9900.0	0.00193187656687	-0.000126876831055	1512041498.8848941	
10000.0	0.00197073865293	-0.000159912109375	1512041500.108891	
10100.0	0.00197073865293	-0.000159912109375	1512041501.3439915	
10200.0	0.00197114403568	-0.00016487121582	1512041502.5734117	
10300.0	0.0019679920709	-0.000170593261719	1512041503.7970574	
10400.0	0.00193960616838	-0.000189412814468	1512041505.0351024	
10500.0	0.00194383080326	-0.000184173583984	1512041506.243647	
10600.0	0.00194383080326	-0.000184173583984	1512041507.5123625	
10700.0	0.00192851507842	-0.000249227267593	1512041508.732486	
10800.0	0.00192699375437	-0.000283966064453	1512041509.9608524	
10900.0	0.00191580245744	-0.000289611816406	1512041511.199682	
11000.0	0.00197633657882	-0.000291442871094	1512041512.4082472	
11100.0	0.00197633657882	-0.000291442871094	1512041513.6331613	
11200.0	0.00192048030113	-0.000307159423828	1512041514.8620088	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
